Year,Building Permits,Building Completions,Construction Price Index,Consumer Price Index ,Disposable Income of Households,Employment in Construction ,Energy Price (EUR/kWh),GDP(Construction Sector /EUR bilion),Gov.Infrastructure Spending (% of GDP),House Price Index,Housing Costs (EUR/Monthly),Construction Output (â‚¬),Construction Input ,Long Term Interest Rate (%),Gross Investment Rate (%),Net Investment Rate (%),Gross Profit Rate (%),Household Saving Rate Gross (%),Household Saving Rate Net (%),Population Growth Rate (%),Saving Rate (%),Stock of Buildings
1980.0,42334.0,72351.0,144.34699999999987,127.85099999999993,95.71,393731.95,0.2266900000000001,13.00699999999999,3.3399999999999994,128.73399999999995,508.2790000000004,34781.199999999975,33792.012000000046,8.393899999999997,27.435577206400495,9.958129248779262,38.7681578709111,17.000112763836793,11.311056925611446,0.5299,11.992999999999993,1784421.53
1981.0,41292.0,47345.0,142.94999999999985,126.46099999999996,94.536,404016.92,0.22562000000000015,12.88099999999999,3.3590000000000004,126.03699999999995,493.0150000000004,34787.42099999998,33987.146000000044,8.659199999999997,27.476867815737542,10.056943056296616,38.55679171119671,17.10519977726616,11.663944558864863,0.5400000000000001,12.06299999999999,1586841.0
1982.0,35538.0,34221.0,112.39099999999993,117.34400000000012,86.36199999999995,430415.59,0.21835000000000013,13.588999999999999,3.007999999999999,117.34800000000008,473.0900000000002,34698.08300000002,33519.43800000004,8.090299999999997,27.4874104068748,9.724904418800628,41.954168683593004,17.237003779450724,11.788806719969015,0.3316999999999999,13.012000000000008,1795682.78
1983.0,37516.0,3693.0,112.62599999999992,117.32800000000012,85.89599999999994,430415.59,0.21835000000000013,13.561999999999998,3.011999999999999,116.9820000000001,473.0900000000002,34732.51900000002,33535.22500000002,8.096299999999996,27.481628861153457,9.689049735848835,41.954168683593004,17.241861590118408,11.79113303748652,0.32999999999999985,13.020000000000007,1801805.73
1984.0,4130.0,40847.0,111.95299999999993,116.9540000000001,86.56799999999996,430415.59,0.21835000000000013,13.591999999999999,3.007999999999999,116.71200000000007,473.0900000000002,34780.427000000025,33501.63300000002,8.085799999999997,27.48864268322001,9.71336426603769,41.954168683593004,17.237849430483518,11.76272052999735,0.33139999999999986,13.024000000000008,1811005.22
1985.0,46958.0,35918.0,135.34099999999998,122.55600000000008,89.28999999999998,414957.71,0.2210700000000001,13.448,3.073,122.49300000000007,477.9860000000003,34125.92400000002,33377.79500000004,8.033199999999997,27.45704313220361,9.810459684439424,41.90280812410397,17.15519402337148,11.794273464735692,0.33989999999999987,12.732999999999993,1777925.54
1986.0,46238.0,3137.0,136.88299999999992,122.58200000000008,89.68999999999997,414957.71,0.2210700000000001,13.487000000000002,3.072,122.39400000000009,477.9860000000003,32821.584000000024,32903.82300000003,7.9645999999999955,27.47232616184041,9.838108571847798,41.879864395292934,17.192415811149687,11.805717760142883,0.33859999999999985,12.693999999999992,1770232.08
1987.0,47850.0,37317.0,135.31499999999997,122.99500000000008,89.70599999999999,414957.71,0.2210700000000001,13.456999999999999,3.073,122.43700000000008,477.9860000000003,34377.495000000024,33377.79500000004,8.027999999999997,27.45704313220361,9.810459684439424,41.840768215467094,17.15519402337148,11.794273464735692,0.34619999999999995,12.655999999999992,1792996.46
1988.0,30568.0,3836.0,112.68299999999992,116.37900000000015,85.70699999999997,430415.59,0.21835000000000013,13.49,3.0109999999999997,116.07900000000011,473.0900000000002,34710.37100000002,33451.79700000003,8.162299999999997,27.498908164364707,9.732932267846968,41.93720729695903,17.13659900098921,11.775667687601963,0.3294999999999999,13.033000000000007,1800205.72
1989.0,29483.0,34616.0,112.39099999999993,117.34400000000012,86.36199999999995,430415.59,0.21835000000000013,13.591999999999999,3.0069999999999992,117.34800000000008,473.0900000000002,34698.08300000002,33505.880000000034,8.077799999999998,27.49692309360567,9.731992470774708,41.954168683593004,17.237003779450724,11.788806719969015,0.33139999999999986,13.012000000000008,1807724.57
1990.0,4825.0,4222.0,100.0,109.5,80.5,434381.33,0.21968000000000024,13.475,3.0389999999999997,109.5,477.80400000000026,34847.647000000026,33402.86500000002,8.178299999999997,27.558831294859,9.662413403043567,41.993678921950114,17.186624933355034,11.796158572461895,0.3,13.5,1814937.55
1991.0,7593.0,3412.0,107.3,113.1,83.2,432398.46,0.21912000000000018,13.475,3.026,113.1,475.3950000000002,34792.715000000026,33433.99200000002,8.170299999999996,27.507269177644947,9.714304063109946,41.94227781118173,17.186624933355034,11.796158572461895,0.31,13.2,1809060.0
1992.0,48231.0,34334.0,117.0,117.7,85.9,427449.9,0.22031000000000012,13.960999999999999,3.049,117.7,476.1320000000003,35467.87400000003,34223.36600000003,7.666599999999995,27.230619375119225,9.436894863671062,42.074474283967035,17.472167020656542,12.107055353158394,0.32,13.0,1876531.62
1993.0,50514.0,35494.0,128.6,121.9,88.7,414957.71,0.2210700000000001,14.033,3.063,121.9,478.05600000000027,35472.62300000003,34752.69900000004,7.598099999999996,27.285745465755003,9.345051677929366,42.00962531361122,17.428528721773496,12.044329734334637,0.33,12.8,1877620.51
1994.0,53629.0,7955.0,136.0,125.6,91.5,410090.9,0.2210700000000001,13.748,3.0839999999999996,125.6,477.9860000000003,34939.85600000002,34424.29000000002,7.729699999999997,27.4032657598998,9.704796296439234,41.899017330386044,17.338188407344287,11.916498459381046,0.34,12.5,1851968.49
1995.0,41729.0,44655.0,141.2,128.4,94.3,408288.76,0.22512000000000015,12.5,3.5,128.4,490.94100000000043,34985.1,34931.1,9.02,26.557613729926576,9.432459729107103,36.92493848524691,18.520355374787968,13.298207941539925,0.7,12.3,1774238.42
1996.0,41172.0,48736.0,143.8,130.8,97.1,403710.82,0.22540000000000016,12.8,3.4,130.8,491.54300000000046,35525.9,35433.1,8.75,27.548451224115272,10.479709549904143,38.18983541631592,17.285425310622106,11.965201178264238,0.5,12.0,1776289.72
1997.0,9067.0,10111.0,148.3,132.5,99.9,400439.03,0.2234100000000001,13.1,3.3,132.5,488.4220000000004,35525.9,31312.500000000004,8.5,27.57948140990529,9.671225475497735,39.96821436164791,16.10254280930377,10.553409553067368,0.6,11.8,1810115.89
1998.0,37703.0,49813.0,151.4,133.7,102.7,400745.13,0.22293000000000013,13.4,3.2,133.7,481.8620000000005,31806.2,31693.199999999997,8.25,27.81200122075997,10.093494271635295,40.52135841807219,15.98909780427216,10.43709367719205,0.65,11.5,1858726.27
1999.0,7756.0,9634.0,156.8,134.5,105.5,404530.14,0.2212000000000001,13.7,3.1,134.5,477.2470000000004,31118.2,31002.300000000003,7.8,27.380974334001674,9.509197323357206,40.75124266997169,17.520472024134207,12.167824091382824,0.6,11.3,1905313.7
2000.0,34178.0,87220.0,161.8,137.6,108.3,408720.23,0.2217000000000001,14.0,3.0,137.6,494.94600000000037,27674.6,27590.6,7.5,29.129949532324527,11.635112234924245,41.37162750067681,17.071162642077528,11.7502369250371,0.16,11.0,1942296.0
2001.0,33241.0,38057.0,102.9,141.3,111.1,425035.56,0.21682000000000012,14.3,2.9,141.3,474.64200000000017,26313.0,26234.8,7.0,28.63569881842037,10.802299469043527,42.28473785575055,14.825191139514438,9.261153142678962,0.37,10.8,2046712.0
